"time_since_pub","mean_citations"
0,1.97178553861289
1,2.83586975512419
2,2.85849605707848
3,2.7484151160876
4,2.65833502218019
5,2.57691834272913
6,2.51123640541913
7,2.45681240614532
8,2.42396612474501
9,2.40623491619647
10,2.35228532953105
11,2.29529439583826
12,2.26214073339941
13,2.24424996383625
14,2.2066011928786
15,2.17687901406006
16,2.19846141891367
17,2.1858680592561
18,2.18194115657761
19,2.1435389133627
