cited_doi,pub_year,cited_year,n,nobel_author,nobel_year,time_after_publish
10.1103/PhysRevLett.28.1406,1972,2004,1,FrederickReines,1995,9
10.1103/PhysRevLett.30.1343,1973,1973,11,DavidJGross,2004,-31
10.1103/PhysRevLett.30.1343,1973,1974,49,DavidJGross,2004,-30
10.1103/PhysRevLett.30.1343,1973,1975,49,DavidJGross,2004,-29
10.1103/PhysRevLett.30.1343,1973,1976,39,DavidJGross,2004,-28
10.1103/PhysRevLett.30.1343,1973,1977,38,DavidJGross,2004,-27
10.1103/PhysRevLett.30.1343,1973,1978,37,DavidJGross,2004,-26
10.1103/PhysRevLett.30.1343,1973,1979,46,DavidJGross,2004,-25
10.1103/PhysRevLett.30.1343,1973,1980,38,DavidJGross,2004,-24
10.1103/PhysRevLett.30.1343,1973,1981,12,DavidJGross,2004,-23
