cited_doi,pub_year,cited_year,n,nobel_author,nobel_year,time_after_publish
10.1103/PhysRev.107.906,1957,1960,2,MartinLPerl,1995,-35
10.1103/PhysRev.107.906,1957,1961,1,MartinLPerl,1995,-34
10.1103/PhysRev.107.906,1957,1962,1,MartinLPerl,1995,-33
10.1103/PhysRev.107.906,1957,1965,2,MartinLPerl,1995,-30
10.1103/PhysRev.107.906,1957,1967,1,MartinLPerl,1995,-28
10.1103/PhysRev.107.906,1957,1969,1,MartinLPerl,1995,-26
10.1103/PhysRev.107.906,1957,1985,1,MartinLPerl,1995,-10
10.1103/PhysRev.115.1561,1959,1960,4,GeorgeESmith,2009,-49
10.1103/PhysRev.115.1561,1959,1961,2,GeorgeESmith,2009,-48
10.1103/PhysRev.115.1561,1959,1962,8,GeorgeESmith,2009,-47
10.1103/PhysRev.115.1561,1959,1963,4,GeorgeESmith,2009,-46
10.1103/PhysRev.115.1561,1959,1964,1,GeorgeESmith,2009,-45
10.1103/PhysRev.115.1561,1959,1968,3,GeorgeESmith,2009,-41
10.1103/PhysRev.115.1561,1959,1969,1,GeorgeESmith,2009,-40
10.1103/PhysRev.115.1561,1959,1972,1,GeorgeESmith,2009,-37
10.1103/PhysRev.115.1561,1959,1973,1,GeorgeESmith,2009,-36
10.1103/PhysRev.115.1561,1959,1999,1,GeorgeESmith,2009,-10
10.1103/PhysRev.117.648,1960,1960,1,YoichiroNambu,2008,-48
10.1103/PhysRev.117.648,1960,1961,9,YoichiroNambu,2008,-47
10.1103/PhysRev.117.648,1960,1962,8,YoichiroNambu,2008,-46
10.1103/PhysRev.117.648,1960,1963,8,YoichiroNambu,2008,-45
10.1103/PhysRev.117.648,1960,1964,7,YoichiroNambu,2008,-44
10.1103/PhysRev.117.648,1960,1965,10,YoichiroNambu,2008,-43
10.1103/PhysRev.117.648,1960,1966,7,YoichiroNambu,2008,-42
10.1103/PhysRev.117.648,1960,1967,8,YoichiroNambu,2008,-41
10.1103/PhysRev.117.648,1960,1968,7,YoichiroNambu,2008,-40
10.1103/PhysRev.117.648,1960,1969,4,YoichiroNambu,2008,-39
10.1103/PhysRev.117.648,1960,1970,4,YoichiroNambu,2008,-38
10.1103/PhysRev.117.648,1960,1971,5,YoichiroNambu,2008,-37
10.1103/PhysRev.117.648,1960,1972,4,YoichiroNambu,2008,-36
10.1103/PhysRev.117.648,1960,1973,4,YoichiroNambu,2008,-35
10.1103/PhysRev.117.648,1960,1974,2,YoichiroNambu,2008,-34
10.1103/PhysRev.117.648,1960,1977,1,YoichiroNambu,2008,-31
10.1103/PhysRev.117.648,1960,1978,3,YoichiroNambu,2008,-30
10.1103/PhysRev.117.648,1960,1980,1,YoichiroNambu,2008,-28
10.1103/PhysRev.117.648,1960,1981,1,YoichiroNambu,2008,-27
10.1103/PhysRev.117.648,1960,1982,3,YoichiroNambu,2008,-26
10.1103/PhysRev.117.648,1960,1983,1,YoichiroNambu,2008,-25
10.1103/PhysRev.117.648,1960,1984,5,YoichiroNambu,2008,-24
10.1103/PhysRev.117.648,1960,1985,1,YoichiroNambu,2008,-23
10.1103/PhysRev.117.648,1960,1986,6,YoichiroNambu,2008,-22
10.1103/PhysRev.117.648,1960,1987,3,YoichiroNambu,2008,-21
10.1103/PhysRev.117.648,1960,1988,3,YoichiroNambu,2008,-20
10.1103/PhysRev.117.648,1960,1989,2,YoichiroNambu,2008,-19
10.1103/PhysRev.117.648,1960,1990,7,YoichiroNambu,2008,-18
10.1103/PhysRev.117.648,1960,1991,4,YoichiroNambu,2008,-17
10.1103/PhysRev.117.648,1960,1992,4,YoichiroNambu,2008,-16
10.1103/PhysRev.117.648,1960,1993,3,YoichiroNambu,2008,-15
10.1103/PhysRev.117.648,1960,1994,7,YoichiroNambu,2008,-14
10.1103/PhysRev.117.648,1960,1995,11,YoichiroNambu,2008,-13
10.1103/PhysRev.117.648,1960,1996,7,YoichiroNambu,2008,-12
10.1103/PhysRev.117.648,1960,1997,3,YoichiroNambu,2008,-11
10.1103/PhysRev.117.648,1960,1998,7,YoichiroNambu,2008,-10
10.1103/PhysRev.117.648,1960,1999,5,YoichiroNambu,2008,-9
10.1103/PhysRev.117.648,1960,2000,5,YoichiroNambu,2008,-8
10.1103/PhysRev.117.648,1960,2001,12,YoichiroNambu,2008,-7
10.1103/PhysRev.117.648,1960,2002,10,YoichiroNambu,2008,-6
10.1103/PhysRev.117.648,1960,2003,4,YoichiroNambu,2008,-5
10.1103/PhysRev.117.648,1960,2004,8,YoichiroNambu,2008,-4
10.1103/PhysRev.117.648,1960,2005,7,YoichiroNambu,2008,-3
10.1103/PhysRev.117.648,1960,2006,4,YoichiroNambu,2008,-2
10.1103/PhysRev.117.648,1960,2007,6,YoichiroNambu,2008,-1
10.1103/PhysRev.117.648,1960,2008,8,YoichiroNambu,2008,0
10.1103/PhysRev.117.648,1960,2009,11,YoichiroNambu,2008,1
10.1103/PhysRev.117.648,1960,2010,8,YoichiroNambu,2008,2
10.1103/PhysRev.117.648,1960,2011,7,YoichiroNambu,2008,3
10.1103/PhysRev.117.648,1960,2012,9,YoichiroNambu,2008,4
10.1103/PhysRev.117.648,1960,2013,12,YoichiroNambu,2008,5
10.1103/PhysRev.117.648,1960,2014,9,YoichiroNambu,2008,6
10.1103/PhysRev.117.648,1960,2015,8,YoichiroNambu,2008,7
10.1103/PhysRev.117.648,1960,2016,15,YoichiroNambu,2008,8
10.1103/PhysRev.117.648,1960,2017,18,YoichiroNambu,2008,9
10.1103/PhysRev.117.648,1960,2018,8,YoichiroNambu,2008,10
10.1103/PhysRev.117.648,1960,2019,15,YoichiroNambu,2008,11
10.1103/PhysRev.117.648,1960,NA,5,YoichiroNambu,2008,NA
10.1103/PhysRev.131.2766,1963,1964,8,RoyJGlauber,2005,-41
10.1103/PhysRev.131.2766,1963,1965,25,RoyJGlauber,2005,-40
10.1103/PhysRev.131.2766,1963,1966,22,RoyJGlauber,2005,-39
10.1103/PhysRev.131.2766,1963,1967,23,RoyJGlauber,2005,-38
10.1103/PhysRev.131.2766,1963,1968,21,RoyJGlauber,2005,-37
10.1103/PhysRev.131.2766,1963,1969,27,RoyJGlauber,2005,-36
10.1103/PhysRev.131.2766,1963,1970,17,RoyJGlauber,2005,-35
